date,cashflow,cash,equity_value,market_value,cumulative_contribution,profit,investment_return,daily_return,time_weighted_nav,cash_weight,running_peak,drawdown
2021-05-20,0.0,0.0,107548.99200357056,107548.99200357056,65000.0,42548.99200357056,0.6545998769780086,-0.015511374361196872,1.5144044566292445,0.0,1.676099447998659,-0.09647100090778382
2021-05-21,0.0,0.0,108037.486766612,108037.486766612,65000.0,43037.486766612,0.6621151810248,0.004542067330814525,1.52128298363734,0.0,1.676099447998659,-0.09236711135856357
2021-05-24,0.0,0.0,108042.62657801493,108042.62657801493,65000.0,43042.626578014926,0.6621942550463835,4.757433328705929e-05,1.5213553576610275,0.0,1.676099447998659,-0.09232393132901706
2021-05-25,0.0,0.0,109687.56930820535,109687.56930820535,65000.0,44687.56930820535,0.6875010662800822,0.015224942064904878,1.5445179048415492,0.0,1.676099447998659,-0.07850461576980072
2021-05-26,0.0,0.0,110183.63271691476,110183.63271691476,65000.0,45183.632716914755,0.6951328110294577,0.004522512549398838,1.5515030064489663,0.0,1.676099447998659,-0.07433714133040659
2021-05-27,0.0,0.0,110823.51877528871,110823.51877528871,65000.0,45823.518775288714,0.7049772119275186,0.005807451094101745,1.5605132842812706,0.0,1.676099447998659,-0.06896139954905645
2021-05-28,0.0,0.0,110822.0433459787,110822.0433459787,65000.0,45822.0433459787,0.704954513015057,-1.3313323077190908e-05,1.5604925086637507,0.0,1.676099447998659,-0.06897379476674159
2021-05-31,0.0,0.0,111613.52140902035,111613.52140902035,65000.0,46613.52140902035,0.7171310986003132,0.007141882960691515,1.5716373635216632,0.0,1.676099447998659,-0.06232451457562882
2021-06-01,1000.0,2.9103830456733704e-11,113250.08131815298,113250.08131815301,66000.0,47250.08131815301,0.7159103230023183,0.0057032508346359645,1.5806008056269132,2.569872808741958e-16,1.676099447998659,-0.0569767160807646
2021-06-02,0.0,2.9103830456733704e-11,112134.37834759415,112134.37834759417,66000.0,46134.378347594175,0.6990057325393058,-0.009851674785331888,1.5650292405244433,2.5954422618296097e-16,1.676099447998659,-0.06626707478893257
2021-06-03,0.0,2.9103830456733704e-11,112554.54401218417,112554.5440121842,66000.0,46554.5440121842,0.7053718789724879,0.003746983492320277,1.570893379253687,2.585753486201603e-16,1.676099447998659,-0.0627683929319307
2021-06-04,0.0,2.9103830456733704e-11,112385.61225850781,112385.61225850784,66000.0,46385.61225850784,0.7028123069470884,-0.0015008879042508472,1.5685356443818974,2.58964024592307e-16,1.676099447998659,-0.06417507251446075
2021-06-07,0.0,2.9103830456733704e-11,112212.87286642657,112212.8728664266,66000.0,46212.872866426595,0.700195043430706,-0.001537024078170357,1.566124767329014,2.5936267126301685e-16,1.676099447998659,-0.06561345796095808
2021-06-08,0.0,2.9103830456733704e-11,110853.19068951649,110853.19068951652,66000.0,44853.190689516516,0.6795937983260079,-0.0121169892738473,1.5471480503217816,2.625439130412516e-16,1.676099447998659,-0.07693540966847245
2021-06-09,0.0,2.9103830456733704e-11,111879.99652028675,111879.99652028678,66000.0,45879.996520286775,0.6951514624285875,0.009262753957585135,1.5614789020478699,2.601343525377784e-16,1.676099447998659,-0.06838528948127243
2021-06-10,0.0,2.9103830456733704e-11,112759.1532074006,112759.15320740062,66000.0,46759.153207400625,0.7084720182939488,0.007858032842845475,1.5737490545435724,2.581061459658386e-16,1.676099447998659,-0.06106463048913824
2021-06-11,0.0,2.9103830456733704e-11,112804.77689048206,112804.77689048208,66000.0,46804.776890482084,0.7091632862194255,0.00040461179233530764,1.5743858119692173,2.5800175541315523e-16,1.676099447998659,-0.06068472616639342
